,COUNTY,Year,Households_With_A_Personal_Computer_Yes,Households_With_A_Personal_Computer_No,Households_With_A_Personal_Computer_Not_Stated,Perc_Of_Households_With_A_Personal_Computer_Yes,Perc_Of_Households_With_A_Personal_Computer_No,Perc_Of_Households_With_A_Personal_Computer_Not_Stated,Households_With_Internet_Access_Broadband,Households_With_Internet_Access_Other_Connection,Households_With_Internet_Access_Not_Stated,Households_With_Internet_Access_Total,Perc_Of_Households_With_Internet_Access_Broadband,Perc_Of_Households_With_Internet_Access_Other_Connection,Perc_Of_Households_With_Internet_Access,Perc_Of_Households_With_Internet_Access_No_Access_To_Internet,Perc_Of_Households_With_Internet_Access_Not_Stated,Total_Households
10,Louth,2006.0,21801.0,15917.0,880.0,56.482201150318666,41.23788797347013,2.279910876211203,6821.0,10594.0,2434.0,17415.0,17.671900098450696,27.44701798020623,45.118918078656925,48.575055702368,6.306026218975076,38598.0
11,Meath,2006.0,33801.0,18766.0,1008.0,63.09099393373775,35.027531497900135,1.881474568362109,9889.0,18298.0,2723.0,28187.0,18.45823611759216,34.15398973401773,52.61222585160989,42.30517965468969,5.08259449370042,53575.0
12,Offaly,2006.0,12143.0,10839.0,551.0,51.599881018144735,46.058726044278245,2.3413929375770195,2483.0,6680.0,1647.0,9163.0,10.551140951004971,28.38567118514427,38.936812136149236,54.064505162962654,6.998682700888114,23533.0
13,Westmeath,2006.0,14578.0,11652.0,651.0,54.23161340723931,43.34660168892526,2.421784903835423,3678.0,7733.0,1668.0,11411.0,13.682526691715339,28.76753096982999,42.45005766154533,51.3448160410699,6.20512629738477,26881.0
14,Wexford,2006.0,24203.0,20183.0,710.0,53.66994855419549,44.75563242859677,1.5744190172077348,4510.0,14396.0,2744.0,18906.0,10.000886996629413,31.923008692566967,41.923895689196385,51.99130743303175,6.084796877771864,45096.0
15,Wicklow,2006.0,26974.0,14583.0,915.0,63.51007722734978,34.3355622527783,2.154360519871916,9424.0,13219.0,2260.0,22643.0,22.188736108495007,31.12403465812771,53.31277076662272,41.36607647391222,5.321152759465059,42472.0
16,Clare,2006.0,21700.0,15556.0,770.0,57.06621785094409,40.90885183821596,2.0249303108399515,5309.0,12435.0,2259.0,17744.0,13.961500026297797,32.701309630252986,46.66280965655078,47.39651817177721,5.940672171672014,38026.0
17,Kerry,2006.0,24049.0,22688.0,1006.0,50.37178225080117,47.521102570010264,2.107115179188572,5368.0,14389.0,2966.0,19757.0,11.243533083383952,30.138449615650465,41.38198269903442,52.40558825377543,6.212429047190164,47743.0
18,Tipperary,2006.0,26318.0,24801.0,968.0,50.52700289899591,47.614567934417416,1.8584291665866721,6079.0,14923.0,1375.0,21002.0,11.670858371570642,28.650143029930693,40.321001401501334,57.03918444141532,2.6398141570833413,52087.0
19,Leitrim,2006.0,5167.0,5170.0,204.0,49.018119722986434,49.046580020870884,1.9353002561426809,817.0,3252.0,282.0,4069.0,7.750687790532207,30.85096290674509,38.60165069727729,58.72308130158429,2.675268001138412,10541.0
20,Mayo,2006.0,21563.0,20840.0,815.0,49.8935628673238,48.22064880373918,1.885788328937017,4371.0,13169.0,1565.0,17540.0,10.113841454949327,30.4711000046277,40.58494145957703,55.79388217872183,3.621176361701143,43218.0
21,Roscommon,2006.0,10522.0,9762.0,340.0,51.018231186966645,47.333204034134994,1.6485647788983708,1926.0,6339.0,521.0,8265.0,9.338634600465477,30.736035686578745,40.07467028704422,57.39914662529092,2.5261830876648563,20624.0
22,Sligo,2006.0,11494.0,9505.0,353.0,53.831022855001876,44.515736230798055,1.653240914200075,2510.0,6879.0,534.0,9389.0,11.75533907830648,32.21712251779692,43.97246159610341,53.52660172349194,2.500936680404646,21352.0
23,Cavan,2006.0,10796.0,10531.0,454.0,49.56613562279051,48.349478903631606,2.084385473577889,1980.0,6526.0,1567.0,8506.0,9.090491712960837,29.961893393324456,39.05238510628529,53.75327119966944,7.194343694045269,21781.0
24,Donegal,2006.0,25518.0,23721.0,754.0,51.04314604044566,47.448642809993395,1.5082111495609385,4878.0,15153.0,1103.0,20031.0,9.757366031244374,30.310243434080768,40.06760946532514,57.7260816514312,2.206308883243654,49993.0
25,Monaghan,2006.0,9436.0,8725.0,345.0,50.988868475089156,47.14687128498865,1.8642602399221875,1890.0,5479.0,1224.0,7369.0,10.212903923051982,29.60661407111207,39.81951799416406,53.566410893764186,6.614071112071761,18506.0
