,bar_county,bar_year,Households_With_A_Personal_Computer_Yes,Households_With_A_Personal_Computer_No,Households_With_A_Personal_Computer_Not_Stated,Households_With_A_Personal_Computer_Total,Perc_Of_Households_With_A_Personal_Computer_Yes,Perc_Of_Households_With_A_Personal_Computer_No,Perc_Of_Households_With_A_Personal_Computer_Not_Stated,Households_With_Internet_Access_Broadband,Households_With_Internet_Access_Other_Connection,Households_With_Internet_Access_No_Access_To_Internet,Households_With_Internet_Access_Not_Stated,Households_With_Internet_Access_Total,Perc_Of_Households_With_Internet_Access_Broadband,Perc_Of_Households_With_Internet_Access_Other_Connection,Perc_Of_Households_With_Internet_Access,Perc_Of_Households_With_Internet_Access_No_Access_To_Internet,Perc_Of_Households_With_Internet_Access_Not_Stated
14,Wexford,2011.0,36727.0,14767.0,851.0,52345.0,70.16333938294011,28.210908396217405,1.6257522208424875,29576.0,5839.0,15961.0,969.0,52345.0,56.50205368230012,11.154838093418665,67.65689177571879,30.49192855095998,1.8511796733212342
15,Wicklow,2011.0,36942.0,9758.0,879.0,47579.0,77.64349818197104,20.509048109460057,1.8474537085689067,32705.0,3619.0,10272.0,983.0,47579.0,68.73830891779987,7.606296895689274,76.34460581348914,21.58935664894176,2.0660375375690956
16,Clare,2011.0,30024.0,11605.0,905.0,42534.0,70.58823529411765,27.284055108854094,2.1277095970282596,25041.0,4149.0,12313.0,1031.0,42534.0,58.87290167865707,9.754549301735082,68.62745098039215,28.94860582122537,2.4239431983824704
17,Kerry,2011.0,35464.0,16601.0,1023.0,53088.0,66.80229053646775,31.27072031344183,1.926989150090416,28984.0,5457.0,17401.0,1246.0,53088.0,54.59614225437011,10.279159132007234,64.87530138637734,32.777652200120556,2.3470464135021096
18,Tipperary,2011.0,38788.0,18343.0,1144.0,58275.0,66.56027456027456,31.476619476619476,1.963105963105963,30692.0,6731.0,19463.0,1389.0,58275.0,52.66752466752467,11.55040755040755,64.21793221793222,33.3985413985414,2.383526383526384
19,Leitrim,2011.0,7903.0,4086.0,239.0,12228.0,64.6303565587177,33.41511285574092,1.9545305855413804,6298.0,1231.0,4392.0,307.0,12228.0,51.504743212299644,10.067059208374223,61.57180242067386,35.91756624141315,2.5106313379129865
20,Mayo,2011.0,31641.0,15477.0,814.0,47932.0,66.01226737878662,32.28949344905283,1.6982391721605608,26349.0,4504.0,16055.0,1024.0,47932.0,54.97162647083368,9.396645247433865,64.36827171826755,33.495368438621384,2.136359843111074
21,Roscommon,2011.0,15696.0,7468.0,437.0,23601.0,66.50565653997712,31.64272700309309,1.8516164569297913,12599.0,2494.0,8016.0,492.0,23601.0,53.38333121477904,10.5673488411508,63.95068005592983,33.964662514300244,2.084657429769925
22,Sligo,2011.0,16525.0,7279.0,624.0,24428.0,67.64778123464876,29.797773047322746,2.554445718028492,14298.0,1978.0,7461.0,691.0,24428.0,58.53119371213362,8.097265433109547,66.62845914524317,30.542819715081055,2.828721139675782
23,Cavan,2011.0,17270.0,7905.0,545.0,25720.0,67.1461897356143,30.734836702954897,2.1189735614307934,14250.0,2445.0,8426.0,599.0,25720.0,55.40435458786936,9.506220839813375,64.91057542768274,32.76049766718507,2.328926905132193
24,Donegal,2011.0,37955.0,18805.0,961.0,57721.0,65.75596403388715,32.57913064569221,1.664905320420644,32293.0,4670.0,19662.0,1096.0,57721.0,55.9467091699728,8.090642920254327,64.03735209022713,34.06385890750334,1.8987890022695382
25,Monaghan,2011.0,14152.0,6746.0,278.0,21176.0,66.8303740083113,31.85681904042312,1.3128069512655838,11355.0,2216.0,7240.0,365.0,21176.0,53.622024933887424,10.464676992822062,64.08670192670948,34.189648658859085,1.7236494144314318
